processed_date,keyword,company,title,date_posted,match_score,matched_skills,gaps_in_skill,job_url,description,location,job_id
2026-05-04,data,Matrix Global Speciality,COO - Chief Operating Officer,,85,"operational strategy development, process improvement, data-driven decision-making, analytical framework building, stakeholder management, resource allocation, performance management, cross-functional alignment, organizational transformation","executive leadership experience (COO level), managing complex organizations through major growth/merger initiatives (advanced organizational leadership)",https://www.linkedin.com/jobs/view/4407727581,"**Role Description** 




 The Chief Operating Officer (COO) is responsible for leading and optimizing the organization’s overall operational strategy, ensuring effective execution of business objectives and sustainable organizational growth. As a key member of the executive leadership team, this role oversees core business operations, drives operational excellence, and aligns day\-to\-day execution with long\-term strategic priorities.
 



 Key responsibilities include developing and implementing operational strategies that improve efficiency, scalability, and organizational performance. The COO works closely with leadership teams across functions to establish operational standards, optimize processes, allocate resources effectively, and monitor key performance indicators. This role also plays a critical part in driving cross\-functional alignment, improving organizational effectiveness, and ensuring operational readiness to support growth initiatives and evolving business needs.
 



 The position requires strong leadership in change management, process transformation, and organizational development. The COO is expected to identify operational risks, address inefficiencies, and implement scalable solutions that enhance productivity and business resilience. In addition, the role serves as a strategic advisor to executive stakeholders, contributing operational insights that support major business decisions and enterprise initiatives.
 



 The ideal candidate combines strategic vision with strong execution capabilities, balancing high\-level leadership with practical operational management. Exceptional decision\-making skills, stakeholder management, and the ability to lead complex organizations through growth and transformation are essential.
 



**Qualifications** 



* Strong leadership and operational management capabilities with a focus on scalability and performance optimization
* Proven ability to develop and execute operational strategies aligned with business objectives
* Excellent strategic thinking and problem\-solving skills in complex organizational environments
* Strong financial and business acumen with experience in performance management and resource allocation
* Exceptional communication and stakeholder management skills across all organizational levels
* Ability to lead organizational transformation, process improvement, and change initiatives
* Strong analytical mindset with data\-driven decision\-making capabilities
* High level of integrity, professionalism, and sound business judgment
* Ability to manage competing priorities while driving execution and operational excellence


-",Hong Kong,10011
2026-05-04,data,Chivas Servicios Industriales,Quantitative Risk Analyst,,85,"statistical modeling, data analysis, Python, SQL, quantitative methods, PySpark, modeling, structured problem-solving, data manipulation","Deep understanding of financial risk concepts (e.g., VaR, stress testing techniques), Experience in regulatory reporting for financial institutions",https://www.linkedin.com/jobs/view/4410001390,"**Role Description** 




 The Quantitative Risk Analyst is responsible for identifying, measuring, and analyzing financial and operational risks across the organization. This role leverages statistical methods, mathematical models, and data\-driven techniques to evaluate risk exposure and support informed decision\-making. The position plays a key role in strengthening the organization’s risk management framework and ensuring that potential vulnerabilities are effectively understood and controlled.
 



 Key responsibilities include developing and maintaining quantitative risk models, performing scenario analysis and stress testing, and assessing portfolio or business\-level risk exposure. The role also involves analyzing large datasets to detect risk patterns, validating model performance, and supporting the enhancement of risk methodologies. In addition, the analyst contributes to regulatory reporting, risk documentation, and internal risk governance processes.
 



 This position requires close collaboration with risk management, finance, and business teams to ensure alignment between risk insights and strategic objectives. The Quantitative Risk Analyst must be able to translate complex analytical outputs into clear, actionable insights for both technical and non\-technical stakeholders. Strong attention to detail and a rigorous approach to analysis are essential.
 



**Qualifications** 



* Strong quantitative and analytical skills with a solid foundation in mathematics, statistics, or related disciplines
* Experience with data analysis, statistical modeling, and quantitative methods for risk assessment
* Proficiency in analytical tools and programming languages used for data manipulation and modeling
* Understanding of financial markets, risk concepts, and risk management frameworks
* Ability to design, validate, and interpret quantitative models
* Strong problem\-solving skills with the ability to work through complex and abstract issues
* Excellent communication skills, including the ability to explain technical concepts clearly
* High attention to detail and strong commitment to accuracy and data integrity
* Ability to work collaboratively in a structured, deadline\-driven environment",Hong Kong,10015
2026-05-04,data,BBVA,"Cross Asset Structurer Intern (Global Markets, 1-year Contract)",,75,"Python, SQL, PySpark, Statistics, Data Analysis, Machine Learning, Structured Product knowledge (Theoretical/Academic), Coding skills","Rates Pricing, Credit Pricing, FX Pricing, Equities Pricing, QIS Pricing, HKSI LE Paper 1",https://www.linkedin.com/jobs/view/4407731315,"**Key Responsibilities** 




  




* Price Structured Products across various asset classes: Rates, Credit, FX, Equities, QIS
* Control market data quality and implement sanity checks to ensure pricing accuracy
* Help automatize daily price runs sent to clients
* Interact with Sales and Research Teams to create
 *ad hoc* 
 ideas and presentations for client distribution
* Analyze pricing feedback and discuss with Trading to optimize competitiveness
* Understand and promote new pricing capabilities both internally and externally



  





**Qualification \& Experience** 




  




* Degree holder in Mathematics, Finance, Engineering or related disciplines
* Previous relevant experience with a strong Finance background
* Good knowledge of Structured and Derivatives Products
* Strong attention to detail, excellent interpersonal skills and highly motivated
* Team work, outstanding communication skills and solution oriented.
* Is able to work in a high pressure environment
* Good coding skills needed
* **1 Year contract, HKSI LE Paper 1 will be required**",Hong Kong,10019
2026-05-04,graduate-finance,Hang Seng Bank,Student Internship Programme 2H2026 - Finance - Hang Seng Bank (HK),,85,"Data Analysis, Machine Learning, SQL, Python, PySpark, Tableau, LLM, AI Development, Risk Management, Financial Modeling, Process Improvement, Stakeholder Management","Proficiency in MS Word, Excel, PowerPoint (Explicit requirement, though implied by role), Knowledge of Hang Seng specific business practices",https://www.linkedin.com/jobs/view/4378634443,"**Hang Seng Bank Student Internship Programme**
**Some Careers Have More Impact Than Others.**
 If you’re looking for a career where you can make a real impression, join Hang Seng and discover how valued you’ll be. Whether you want a career that could take you to the top, or simply take you in an exciting new direction, Hang Seng offers opportunities, support and rewards that will take you further.
   

  

 We welcome all full\-time University students from different disciplines to join our Student Internship Programme. Our full\-time internship will equip you with valuable banking knowledge and skills to build an exciting career in the banking industry, putting you one step ahead of the rest. Perform well and you might be considered for early selection of Management Trainee Programme or other graduate opportunities.
   

  

 We are currently seeking a high\-calibre professional to join our team for the following functions:
   

  

- Audit

- Chief Information Office

- Chief Operating Office

* Chief Control Office / Operations
* Data \& Analytics Office / Transformation Services / Performance Services


- Commercial Banking

* Business Banking
* Corporate Banking / Large Local Corporate / Client Coverage
* Global Payment Solutions / Global Trade Solutions
* Commercial Banking \- Strategic Change, Business Risk and Client Services
* CMB Business Risk / Chief Administration Office
* CMB Data and Analytics / Digital / Transformation
* Relationship Service Management
* Finance
* Asset Liability and Capital Management / Finance Strategy and Execution / Strategic Planning and Stress Testing
* Corporate Sustainability
* Financial Reporting / Financial Reporting Risk
* Insurance Business Finance / Global Markets Finance
* Global Markets \- Chief Operating Office
* Hang Seng Indexes Company Limited
* Retail Banking and Wealth
* Business Risk Management, Fraud and Credit Control / Strategies
* Customer Propositions and Management
* Digital Banking / Transformation \& Business Architect
* Insurance / Actuarial
* Liabilities \& Secured Lending / Unsecured Lending \& Payment (Cards, Loans, Deposits)
* Private Banking


 For more information about our business functions, please visit here .
   

  

**Programme Overview**
 Duration: 6\-month full\-time internship
   

  

 Employment Period: July 2026 \- December 2026
   

  

* Subject to availability, early onboarding can be considered
* For student visa holder, a valid student visa to cover the whole employment period is required


**Your Benefits**
* Business exposure – hands\-on experience on the bank’s day\-to\-day business and innovative projects
* Knowledge growth – access to the bank’s market insight and financial analysis
* On\-the\-job trainings – receive support and guidance from experienced professionals with constructive feedback
* Structured and comprehensive learnings – access to the bank’s learning hub containing interpersonal and technical skills resources
* Dynamic working environment – surrounded by experienced professionals to develop your essential competencies
* Networking and social opportunities – build professional connections through social events
* Potential career path – consider for early selection of Management Trainee Programme or other graduate opportunities if your performance is satisfactory


**Requirements**
* Full\-time university students, or bachelor’s degree holder with deferred full\-time master’s degree offer. All academic disciplines are welcome
* Be innovative and creative to new ideas and approaches
* Have growth mindset to challenge the status quo and courage to explore new opportunities
* Ability to communicate with impact, influence and present confidently
* Demonstrate a team\-player spirit with strong integrity and work ethic
* Proficiency in English and Chinese
* Good knowledge of application software (MS Word, Excel, PowerPoint) \& Chinese Word Processing
* Permanent resident of Hong Kong or holding a valid Hong Kong student visa


 We review applications on a rolling\-basis and the hiring process may take longer than usual due to high volume of applications. Your patience and understanding will be appreciated.
   

  

 Please submit your application ONCE only. Multiple submissions will not be accepted.
   

  

**You’ll achieve more when you join Hang Seng Bank Limited.**
**www.hangseng.com/careers**
**https://www.linkedin.com/company/hang\-seng\-bank/**
 Hang Seng is committed to service excellence. Our people are our most important asset and play a vital role in our efforts to continually enhance our performance for customers and provide best\-in\-class products and services. We seek to attract high\-calibre talent by offering a dynamic working environment, good career development opportunities and competitive compensation packages.
   

  

 Issued by Hang Seng Bank Limited",Hong Kong,10022
2026-05-04,graduate-finance,CMS Asia Pacific,Shipping Finance Paralegal,,20,"English proficiency, Organizational skills, Attention to detail","Legal drafting (corporate authorities, legal opinions), Paralegal support, Ship Finance, Pre/post-closing financing matters, Liaising with law firm counterparties",https://www.linkedin.com/jobs/view/4388502196,"**About The Role**
 We have an opportunity for an experienced Paralegal to join our APAC Ship Finance team. You will have proven relevant experience, preferably working within an international law firm providing support from the Associate to Partner levels and possessing strong organisational skills. You will be confident in meeting the frequent demands of a fast\-paced role with the understanding that strong communication with those you will be supporting is fundamental.
   

  

**Key Responsibilities Include But Are Not Limited To**
* Supporting the CMS APAC Ship Finance team on pre and post\-closing financing matters and other transactional work
* Assisting with simple drafting/preparation of closing documents, including corporate authorities, legal opinions and closing memoranda
* Liaising with clients and their counterparties on pre\- and post\-closing documentation and distributions of documents
* Preparing and managing closing checklists, amending and formatting legal documents/agreements, preparing client panel submissions and directory ranking submissions.
* Perform administrative role and duties with a client\-focused basis
* Liaising with Business Development \& Marketing, Facilities and Finance Teams on specific team\-based tasks and pitches
* Providing administrative service to the broader Corporate and Banking teams situated in Hong Kong with a flexible and enthusiastic approach to teamwork.


**About You**
 The successful candidate should be a graduate with a basic degree and proficient in English, Cantonese and Mandarin (both oral and written) and be able to work well with others. Given the nature of this role, the candidate should have a strong attention to detail and strong organisational skills and ideally experience with the responsibilities listed above. This role would suit a candidate interested in working with a growing team and handling international projects.
   

  

**What’s in it for you?**
 As a future facing firm, we take a bold, dynamic and agile approach to help clients of every size face the future with confidence. We empower and support our people to realise their ambitions through access to high quality, interesting and engaging work alongside a competitive package.
   

  

 Please note that we have a preferred agency panel in place. Only applications submitted via the portal at the point of instruction will be accepted.",Hong Kong,10024
2026-05-04,graduate-finance,AIA,May 2026 Wealth Management & Finance Internship/Graduate Program,,85,"Data Analysis, Financial Planning, Wealth Management, Problem Solving, Client Relationship Management, Analytical Abilities, Python, SQL, PySpark","Direct Experience in Insurance/Financial Services, Investment Portfolio Management (Specific theory), Deep knowledge of IIQE Papers licensing",https://www.linkedin.com/jobs/view/4408625041,"Find your best in AIA
 



  





 Working with the Senior Managers, Interns will acquire knowledge in the field of Wealth Management (composed of Risk Management, Investment Management, Saving Management and Retirement Management) , financial senses, and various investment tools through this internship program.
 



  





**Job Highlights** 




 · Wealth \& Portfolio Management
 



 · Analyse clients' data and provide strategic recommendations to clients
 



 · Present value\-proposition to sales leads and current customers
 



 · Flexible working schedule
 



 · Young team with big ambitions, Excellent career path
 



  
 



**Job Description** 




 · Assist in providing high\-quality financial planning and wealth management services to our diverse clientele
 



 · Gain exposure to various aspects of the financial planning process, including investment analysis, portfolio management, and client relationship management
 



 · Participate in training programs and workshops to enhance your industry knowledge and skills
 



 · Collaborate with experienced financial advisors to learn best practices and acquire practical experience
 



 · Contribute to the continuous development and enhancement of our wealth management processes and procedures
 



 · Work alongside colleagues to provide after\-sale services and foster strong client relationships
 



  





  
 



**We Are Looking For:** 




 · Recent or prospective university graduates with Bachelor's or Master's degrees
 



 · Majors in finance, economics, risk management, or other relevant business fields preferred
 



 · Strong interest in financial planning and wealth management
 



 · Excellent communication and interpersonal skills
 



 · Analytical and problem\-solving abilities
 



 · Local applicants welcomed along with those holding IANG/TTPS/QMAS/dependent visas
 



 · Fluent in oral and written Chinese \& and English; Mandarin knowledge is advantageous
 



  
 



**We Offer** 




 · Comprehensive training and mentorship program
 



 · Opportunities for career advancement and specialisation
 



 · Competitive salary and performance\-based bonuses
 



 · ⁠Flexible work arrangements and work\-life balance initiatives
 



 · Health and wellness programs to support your well\-being
 



 · IIQE Papers licensing training, with full fee coverage
 



  
 



**Our Team** 




 · Challenge District is a
 **top\-performing** 
  district under AIA, established by Mr. Terence Yee in 1994
 



 · High proportion of success, including consistent achievement of
 **highest number and highest percentage** 
  Million Dollar Round Table (MDRT) status
 



 ·
 **Young and energetic** 
  working environment that nurtures team members to become future entrepreneurs
 



 · Experienced managers provide high\-quality teaching to
 **develop critical skills** 
  needed in the fast\-paced financial and insurance landscape
 



 · Offers
 **weekly insights** 
  on exciting business opportunities in Hong Kong and Mainland China for professional growth
 



  





**Time and Location** 




 Date: May 2026
 



 Location: Lee Garden Two, Causeway Bay
 



 Dress Code: Formal Business Attire",Hong Kong,10025
2026-05-04,graduate-finance,Computershare Hong Kong,"Officer, CGS EGC",,35,"Analytical skills, Problem solving, Business acumen, Advanced IT skills (Excel, PowerPoint)","HK Companies Ordinance knowledge, Listing Rules knowledge, Securities and Futures Ordinance knowledge, Company Secretarial Services experience, Corporate Governance expertise, Knowledge of legal entity management technology, Issuer client experience",https://www.linkedin.com/jobs/view/4387965372,"**Job Description**
**Location: Wanchai, Hong Kong, Hybrid**
 In this position, you’ll be based in the Wanchai office for a minimum of three days a week, with the flexibility to work from home for some of your working week. Find out more about our flexible work culture at computershare.com/flex.
   

  

**We give you a world of potential**
 An exciting new opportunity has recently opened under our Entity Solutions team. We are currently looking to hire an Officer to support the delivery of Hong Kong Governance Advisory and managed service client engagements to cope with our fast\-growing practice.
   

  

**A role you will love**
 The Officer will be an active member of the Entity Solutions team with responsibility for developing the Company Secretarial Services practice and range of service offerings to Listed clients in HK. You will be assisting in developing subject matter market insights, technical knowledge and global service delivery templates, processes, tools and materials. You will be essential in establishing and maintaining client relationships and assisting the AVP or above to advise them on any compliance, governance and transaction related matters.
   

  

**Some Other Key Accountabilities Will Include**
* Assist Manager to handle full spectrum work of Listed or IPO portfolio
* Act as Named Company Secretary when required
* Advise domestic and international clients on legal entity compliance, governance and transaction related matters
* Support the delivery of governance advisory and managed service client engagements locally / globally
* Support business development and client relationship management activities
* Maintain relationships with client and other professional working parties
* Support the on\-boarding process of IPO / Listed clients in accordance with company policies and processes
* Assist Manager to follow up aged debts and support for any ad hoc assignments as delegated
* As a good team player to work with the teams of other departments for any pursuits


**What will you bring to the role?**
 To be successful in this role, you must have excellent interpersonal skills; certain knowledge of HK Companies Ordinance, Listing Rules, Securities and Futures Ordinance and other statutory and regulatory requirements for both HK and offshore companies marketing knowledge; sound problem solving and analytical skills.
   

  

**Some Other Key Skills Required For The Role**
* Degree holder in Business Administration, Management, Finance, Accounting, Law or master’s degree in Corporate Governance
* At least 1\-2 years’ previous company secretarial and corporate governance experience within professional services or industry
* Graduate or Associate Member of The Hong Kong Chartered Governance Institute or other professional bodies such as HKICPA, Law Society of Hong Kong. Practical experience in an Issuer client is an advantage
* Practical experience in an Issuer client is an advantage
* Advanced IT skills (incl. Microsoft Word, PowerPoint and Excel) and experience of using legal entity management technology
* Drive and enthusiasm to help develop, manage and grow the domestic Governance Services business
* Expert networking and communication skills, and the ability to influence and build effective relationships at all levels with clients and colleagues
* Awareness of legal, regulatory and governance trends and developments
* Attention to detail and track record of producing high\-quality work
* Resilient and composed under pressure, proactive, self\-motivated, take ownership/responsibility for own work and work of others
* Effective business, financial and risk management skills and the ability to think/act strategically and commercially whilst protecting the reputation of the company
* Good command of spoken and written English with fluent in Mandarin


**Rewards designed for you**
**Flexible work** 
 to help you find the best balance between work and lifestyle.
   

  

**Health and wellbeing** 
 rewards that can be tailored to support you and your family.
   

  

**Invest in our business** 
 by setting aside salary to purchase shares in our company, and you’ll receive a company contribution as well.
   

  

**Extra rewards** 
 ranging from recognition awards and team get togethers to helping you invest in your future.
   

  

**And more.** 
 Ours is a welcoming and close\-knit community, with experienced colleagues ready to help you grow. Our careers hub will help you find out more about our rewards and life at Computershare, visit computershare.com/careershub .
   

  

**About Us**
**A company to be proud of**
 We're a global leader in financial administration with over 11,000 employees across more than 22 different countries. At Computershare, it’s more than just a job, our open and inclusive culture means that we will help you to grow, to move forward and make the most of our world of opportunities.
   

  

**Fairness and culture**
 We're dedicated to providing you with the opportunity to succeed on your own merits, starting from the application process and continuing throughout your career with us. Our goal is to create an environment where everyone feels valued, to remove barriers and obstacles and ensure equal opportunities for all. For support with accommodations or adjustments during our recruitment process please visit computershare.com/access for further information.",Hong Kong,10026
2026-05-04,research,Conspiracy Chocolate,Business Development Consultant,2026-05-03,65,"data analysis, project management, business relationship building, market analysis, data dictionary creation, analytical framework building","direct sales experience, consulting-style sales training, networking with senior decision-makers",https://www.linkedin.com/jobs/view/4408358914,"**About Conspiracy Chocolate** 





 Chocolate maker based in Hong Kong, manufacturing and distributing cacao products made inhouse, in close cooperation with sustainable cacao farms.
 





 The brand is highly product driven and develops expertise in the world of chocolate making, focused on curation and creation of elite ingredients and finished products.
 




  






 A small and high\-calibre tight\-knit team striving for excellence, operating in a flat structure that encourages independence and decision\-making.
 
**We support career growth through training, high expectations, freedom \& independence, and quarterly development.** 

 We prioritise internal promotion over new hires within our supportive, positive start\-up environment. We encourage self learning and personal projects in the company and outside.
 




  






 Beyond products, conspiracy offers services such as consulting, project and event management, commercial chocolate programme development and bespoke offerings.
 




  





**The Role** 





 This key position reports directly to the CEO. You will be trained in consulting\-style sales and about your sector to build an impactful network of senior decision\-makers, directly driving company growth.
 





 We are hiring for
 
**one** 

 candidate for
 
**either** 

 sector’s desk:
 



1. **Hospitality** 

 : Fine dining restaurants, luxury hotels, member clubs, cocktail bars, cafes, and bakeries.
2. **Professional Services:** 

 Financial services, law firms, luxury brands, corporate services.



  





**The ideal candidate** 

 will leverage our rapid expansion for their own fast\-paced career growth. You should be highly motivated by rigorous sales training and a generous, uncapped commission structure. This role offers a modest base salary with a highly competitive total earning potential.
 




  





**Responsibilities** 



* **New business development:** 

 building connections and partnerships, driving deals.
* **Project management:** 

 Deliver services and drive results.
* **Consulting:** 

 Support partners and customers to deliver the best offering they can.
* **Grow the market:** 

 Expand our footprint across Hong Kong, Macau, and new export markets.
* **Marketing:** 

 participate in marketing strategy and execution to increase BD’s reach.
* **Relationships:** 

 Build and maintain business relationships with key decision makers in a range of industries.



  





**Requirements** 



* Honesty, integrity and communication skills.
* Charisma and self motivation, conscientiousness.
* Healthy work ethic, and a good sense of logic and reason. Professional startup mindset.
* Passion for food, nutrition, or entrepreneurship. Appetite for learning.
* Experience, education, OR interest in sales, marketing, or business administration.
* Nice to have: Cantonese/Mandarin. Background in wine, culinary, hospitality, or science. Network.



  






 Entry level candidates who meet these requirements will be considered.
 




  





 join@conspiracychocolate.com",Hong Kong,10027
2026-05-04,research,Teleport,"Executive, Air Operations",,25,"Process Documentation and Management, Stakeholder Management, Compliance Monitoring, Analyzing Operational Flow","Specific knowledge of Customs/Air Cargo Documentation (AWB, Customs Forms), Direct experience with ULD Stock Check Message (SCM), Ground Operations Management/Supervision",https://www.linkedin.com/jobs/view/4409852677,"The Executive, Air Operations will be based in Hong Kong. We transport cargo every day to over \>100 stations across Asia on behalf of our customers, and coordinate with many Cargo Terminal Operators (CTOs). We rely heavily on CTOs and ground handlers to ensure we can maximize our ability to sell and transport cargo. The efficiency of cargo movements relies heavily on strong guidance from our Supervisors in the Ground Operations team. Supervisors closely monitor and plan the movement of cargo to ensure the right loads are transported, at the right time, unto the right aircrafts.
   

  

 You will fit perfectly in this role if you are a strong team player, is a natural leader and is able to exercise those skills in a high\-pressure and fast\-paced environment.
   

  

**Requirements**
* Research customs requirements, and attach the necessary documentations during the declaration process
* Ensure all documentation, such as invoices, AWB and other related documents for both outbound and inbound shipments are completed accurately and in a timely manner and forwarded to any relevant parties
* Obtain and check documentation to meet customs and insurance requirements, packing specifications, and compliance with other countries' regulations and fiscal regimes
* Deal with CTO on any special arrangements for transporting delicate cargoes, such as livestock, food and medical supplies
* Monitor outbound/inbound traffic activities for the load quality and accuracy
* Interact, liaise and manage the relationship with CTO and Vendors to achieve the efficiency in cargo retrieval and submission process
* To proactively monitor all delivery movement from origin to destination across our different service types
* Ensuring all shipment transition from one place to another place remain within SLA
* Monitor our vendors to handle parcel handover in/out with accuracy and smooth in/outbound flows
* Monitor all parcels that are created by customers and make sure our vendors pick up and deliver on time
* Manage documentation, including air waybills, customs forms, and other required paperwork for international shipments
* Monitor the ULD movement and planning via ULD Stock Check Message (SCM) from CTO or GHA for all stations
* Handle inquiries and resolve issues related to operation, such as delays, damages, or missing shipments",Hong Kong,10028
2026-05-04,research,The MEP Source,Research Assistant / Project Assistant,,90,"Analytical Skills, Data Handling, Reporting, Documentation, Research, Project Coordination, Communication Skills, Attention to Detail, Organizational Skills, Structured Thinking",,https://www.linkedin.com/jobs/view/4408622579,"**Role Description** 




 The Research Assistant / Project Assistant provides essential support in the planning, execution, and coordination of research activities and project\-based initiatives. This role is focused on ensuring that information is accurately collected, organized, and analyzed to support decision\-making and project delivery. The position works closely with project leads, researchers, and cross\-functional teams to maintain structure, clarity, and progress across multiple workstreams.
 



 Key responsibilities include conducting background research, gathering and organizing data from various sources, and preparing summaries, reports, and presentation materials. The role also supports project coordination tasks such as tracking timelines, documenting meeting notes, maintaining project documentation, and assisting with stakeholder communications. In addition, the position may contribute to basic data analysis, literature reviews, and the preparation of research outputs or project deliverables.
 



 The role requires strong attention to detail, curiosity, and the ability to work systematically with information. It also involves adapting to shifting priorities and supporting multiple initiatives simultaneously. Clear communication and organizational skills are essential, as the role serves as a key support function in ensuring that research and project activities are executed efficiently and effectively.
 



**Qualifications** 



* Strong organizational skills with the ability to manage and structure information effectively
* Good analytical and research skills with attention to detail and accuracy
* Ability to summarize and present information clearly and concisely
* Proficiency in basic data handling, documentation, and reporting tools
* Strong written and verbal communication skills
* Ability to manage multiple tasks and deadlines in a structured manner
* Collaborative mindset with the ability to work effectively in team settings
* Proactive, reliable, and able to follow through on assigned tasks
* Interest in research, analysis, and project\-based work environments


-",Hong Kong,10029
